"Paper_ID","TARA-KB:Article_ID","TARA-KB:Study_ID","TARA-KB:OCSI_Set_ID","Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment",""
"1431","A-112625-1431","S-112625-1431","O-112625-1431","https://doi.org/10.1016/j.jad.2004.05.009","Clinical Observation on the Effects of Electroacupuncture at Shaoze (SI 1) in 46 Cases of Postpartum Insufficient Lactation","SI 1, LI 1","SI 1, LI 1","SI 1, LI 1","","TARA:9168896, TARA:6314936","","","",""
"1464","A-112625-1464","S-112625-1464","O-112625-1464","https://doi.org/10.1007/s11726-010-0450-8","Clinical Observation on the Post stroke Shoulder Pain and Blood Viscosity Treated by Acupuncture moxibustion Therapy","Not specified","Not specified","","","","","","",""
"1478","A-112625-1478","S-112625-1478","O-112625-1478","https://doi.org/10.1007/s11655-007-0219-1","Clinical Observation on the Treatment of Chloasma by Chinese Herbs Combined with Acupuncture","ST 36, SP 6, ST 40, LUS, Liv 5, SP 9, Liv 3, LI 4, PC 3, EX, ST 25, ST 39, BL 17, BL 23","ST 36, SP 6, ST 40, LUS, Liv 5, SP 9, Liv 3, LI 4, PC 3, EX, ST 25, ST 39, BL 17, BL 23","ST 36, SP 6, ST 40, LR 5, SP 9, LR 3, LI 4, PC 3, ST 25, ST 39, BL 17, BL 23","LUS, EX","TARA:6463344, TARA:4385250, TARA:9531666, TARA:0780558, TARA:3553465, TARA:6499349, TARA:0859695, TARA:7634323, TARA:5717468, TARA:6728804, TARA:1124682, TARA:0992296","","","",""
"1855","A-112625-1855","S-112625-1855","O-112625-1855","uri not found","Clinical Observation on the Treatment of Diabetic Gastroparesis with Acupuncture","ST 36, PC 6, CV 12, BL 21, BL 20, CV 6, CV 4, SP 4","ST 36, PC 6, CV 12, BL 21, BL 20, CV 6, CV 4, SP 4","ST 36, PC 6, CV 12, BL 21, BL 20, CV 6, CV 4, SP 4","","TARA:6463344, TARA:4311153, TARA:0434959, TARA:4839095, TARA:3283628, TARA:8833337, TARA:9921528, TARA:7407065","","","",""
"1164","A-112625-1164","S-112625-1164","O-112625-1164","https://doi.org/10.1007/s11726-010-0436-6","Clinical Observation on the Treatment of Relapsed Lumbar Disc Herniation after Disc Surgery by Acupuncture plus Medication","GB 30, BL 36, BL 40, GB 34, BL 57, GB 39, BL 25, BL 26, BL 32","GB 30, BL 36, BL 40, GB 34, BL 57, GB 39, BL 25, BL 26, BL 32","GB 30, BL 36, BL 40, GB 34, BL 57, GB 39, BL 25, BL 26, BL 32","","TARA:9378285, TARA:9927213, TARA:5290080, TARA:8758950, TARA:4589241, TARA:3770332, TARA:0906448, TARA:4384020, TARA:6742407","","","",""
"1553","A-112625-1553","S-112625-1553","O-112625-1553","https://pubmed.ncbi.nlm.nih.gov/17955649.0/","Clinical Observation on Therapeutic Effects of the Point Penetrating Method in Acupuncture Treatment of Spastic Hemiparalysis Due to Cerebrovascular Disorders","HT 1, LUS, PC 7, LI 15, TE 10, SJ 4, BL 36, SP 10, KI 6, ST 31, LR 8, BL 62","HT 1, LUS, PC 7, LI 15, TE 10, SJ 4, BL 36, SP 10, KI 6, ST 31, LR 8, BL 62","HT 1, PC 7, LI 15, TE 10, TE 4, BL 36, SP 10, KI 6, ST 31, LR 8, BL 62","LUS","TARA:0420802, TARA:9020892, TARA:7829474, TARA:7517723, TARA:1594912, TARA:9927213, TARA:8433932, TARA:2108622, TARA:9294655, TARA:1074531, TARA:1628341","","","",""
"1657","A-112625-1657","S-112625-1657","O-112625-1657","https://doi.org/10.1007/s11726-009-0051-6","Clinical Observation on Treating Menopause Syndrome with Acupuncture Therapy","BL 23, ST 36, SP 6, GV 20, CV 17, PC 6, HT 7, LI 3, BL 18, KI 3, KI 12, BL 20, CV 4","BL 23, ST 36, SP 6, GV 20, CV 17, PC 6, HT 7, LI 3, BL 18, KI 3, KI 12, BL 20, CV 4","BL 23, ST 36, SP 6, GV 20, CV 17, PC 6, HT 7, LI 3, BL 18, KI 3, KI 12, BL 20, CV 4","","TARA:0992296, TARA:6463344, TARA:4385250, TARA:3386254, TARA:3472408, TARA:4311153, TARA:2442762, TARA:7867167, TARA:9655874, TARA:4362146, TARA:9217640, TARA:3283628, TARA:9921528","","","",""
"1232","A-112625-1232","S-112625-1232","O-112625-1232","https://pubmed.ncbi.nlm.nih.gov/14535181.0/","Clinical Observation on Treatment of Acquired Paralytic Strabismus by Acupuncture Plus Oral Administration of Chinese Herbs","BL 1, GB 1, Ex HN, ST 1, GB 14, GB 20, TE 15, LI 4, EX HN 5, BL 2, TE 17, PC 6, BL 21, BL 20, ST 36, SP 6, LR 3, GB 38","BL 1, GB 1, Ex HN, ST 1, GB 14, GB 20, TE 15, LI 4, EX HN 5, BL 2, TE 17, PC 6, BL 21, BL 20, ST 36, SP 6, LR 3, GB 38","BL 1, GB 1, ST 1, GB 14, GB 20, TE 15, LI 4, Taiyang, BL 2, TE 17, PC 6, BL 21, BL 20, ST 36, SP 6, LR 3, GB 38","Ex HN","TARA:1460220, TARA:5541141, TARA:4157768, TARA:9987270, TARA:2324295, TARA:5828993, TARA:0859695, TARA:9534465, TARA:8104948, TARA:6615149, TARA:4311153, TARA:4839095, TARA:3283628, TARA:6463344, TARA:4385250, TARA:6499349, TARA:9968219","","","",""
"1371","A-112625-1371","S-112625-1371","O-112625-1371","https://pubmed.ncbi.nlm.nih.gov/16136936.0/","Clinical Observation on Treatment of Auditory Hallucinosis by Electroacupuncture A Report of 30 Cases","Not specified","Not specified","","","","","","",""
"598","A-112625-598","S-112625-598","O-112625-598","https://doi.org/10.1007/s11655-013-1504-9","Clinical Observation on Treatment of Clearing the Governor Vessel and Refreshing the Mind Needling in","GV 2, GV 3, GV 4, GV 5, GV 6, GV 7, GV 8, GV 9, GV 10, GV 11, GV 12, GV 13, GV 14, BL 23, KI 3, GB 34, ST 36, SP 6, GV 24, GV 21, GV 20, GV 17, EX-HN 1, GB 7","GV 2, GV 3, GV 4, GV 5, GV 6, GV 7, GV 8, GV 9, GV 10, GV 11, GV 12, GV 13, GV 14, BL 23, KI 3, GB 34, ST 36, SP 6, GV 24, GV 21, GV 20, GV 17, EX-HN 1, GB 7","GV 2, GV 3, GV 4, GV 5, GV 6, GV 7, GV 8, GV 9, GV 10, GV 11, GV 12, GV 13, GV 14, BL 23, KI 3, GB 34, ST 36, SP 6, GV 24, GV 21, GV 20, GV 17, Sishencong, GB 7","","TARA:2678362, TARA:8807122, TARA:8557069, TARA:1697302, TARA:5902217, TARA:9586774, TARA:8093645, TARA:8982235, TARA:3683574, TARA:8300996, TARA:8607646, TARA:8998025, TARA:8452754, TARA:0992296, TARA:4362146, TARA:8758950, TARA:6463344, TARA:4385250, TARA:7679931, TARA:4510130, TARA:3386254, TARA:6135195, TARA:9610280, TARA:0478496","","","",""
