"Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1080/13697130410001713814","A comparison of acupuncture and oral estradiol treatment of vasomotor symptoms in postmenopa usal women","BL 15, BL 23, BL 32, HT 7, SP 6, SP 9, LR 3, PC 6, GV 20","BL 15, BL 23, BL 32, HT 7, SP 6, SP 9, LR 3, PC 6, GV 20","BL 15, BL 23, BL 32, HT 7, SP 6, SP 9, LR 3, PC 6, GV 20","","TARA:5797983, TARA:0992296, TARA:6742407, TARA:2442762, TARA:4385250, TARA:3553465, TARA:6499349, TARA:4311153, TARA:3386254","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/aim.19.1.19","A Comparison of Acupuncture with Advice and Exercises on the Symptomatic Treatment of Osteoarthritis of the Hip -A Randomised Controlled Trial","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1093/rheumatology/25.3.271","A controlled study of acupuncture in neck pain","GB 20, GB 21, DU 4","GB 20, GB 21, DU 4","GB 20, GB 21, GV 4","","TARA:2324295, TARA:5389461, TARA:8557069","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/17313008.0/","A Controlled Study on Endometriosis Treated by Acupuncture with Shu  Mu Point Combination","LI 4, CV 3, CV 4, SP 6","LI 4, CV 3, CV 4, SP 6","LI 4, CV 3, CV 4, SP 6","","TARA:0859695, TARA:0022762, TARA:9921528, TARA:4385250","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/17955648.0/","A Controlled Study on Treatment of Mental Depression by Acupuncture plus TCM Medication","GV 20, GV 24, EX  HN 3, GV 26, Anmian, CV 17, PC 6, PC 7, HT 7, LR 3","GV 20, GV 24, EX  HN 3, GV 26, Anmian, CV 17, PC 6, PC 7, HT 7, LR 3","GV 20, GV 24, Yintang, GV 26, Anmian, CV 17, PC 6, PC 7, HT 7, LR 3","","TARA:3386254, TARA:7679931, TARA:3135569, TARA:0829128, TARA:3480360, TARA:3472408, TARA:4311153, TARA:9020892, TARA:2442762, TARA:6499349","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.2340/0001555577154156","A Controlled Trial of Acupuncture in Psoriasis: No Convincing Effect","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1017/s0022215100148091","A controlled trial of acupuncture in tinnitus","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpain.2004.12.009","A Controlled Trial of Placebo Versus Real Acupuncture","LI 4","LI 4","LI 4","","TARA:0859695","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/0091-6749(85)90760-2","A controlled trial of real and simulated acupuncture in the management of chronic asthma","LI 4, GV 14, ST 36, LU 7","LI 4, GV 14, ST 36, LU 7","LI 4, GV 14, ST 36, LU 7","","TARA:0859695, TARA:8452754, TARA:6463344, TARA:3515622","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/671428.0/","A Controlled Trial of the Theory of Acupuncture in Musculoskeletal Pain","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
