Acupoint_IRI,Acupoint_Curie,Acupoint,Acupoint_Category,Synonym,Pinyin_Name,Chinese_Name,Meridian,Special_Point_Role,Location,Locational_Anatomy,Acupuncture_Method,Indications,Innervation,Nearby_Nerve,Vasculature,Nearby_Artery,Nearby_Vein,Reference
http://purl.org/tara/ontology/TARA_8876563,TARA:8876563,CV 24,Meridian Acupuncture Point,"Conception Vessel 24, RN 24, Ren 24, VC 24",Chengjiang,承漿(浆),Conception Vessel,,"On the face, in the depression in the centre of the mentolabial sulcus.",face (mentolabial sulcus),Puncture obliquely upward 0.2-0.3 inch. Moxibustion is applicable.,"deviation of the eye, deviation of the mouth, mental disorder, swelling of the gums, toothache, facial puffiness, salivation",The branch of the facial nerve.,,The branches of the inferior labial artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 231. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_0022762,TARA:0022762,CV 3,Meridian Acupuncture Point,"Front-Mu Point of the Bladder, Conception Vessel 3, RN 3, Ren 3, VC 3",Zhongji,中極(极),Conception Vessel,Front-Mu Point of the Bladder,"On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, on the anterior median line.","lower abdomen (anterior median line, umbilicus)",Puncture perpendicularly 0.5-1.0 inch. Moxibustion is applicable.,"enuresis, irregular menstruation, nocturnal emission, retention of urine, vaginitis, hernia, prolapse of the uterus, dysmenorrhea, uterine bleeding, impotence, morbid leukorrhea, pain in the lower abdomen, frequency of urination",The branch of the iliohypogastric nerve.,,"The branches of superficial epigastric artery and vein, and the branches of inferior epigastric artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 221. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_9921528,TARA:9921528,CV 4,Meridian Acupuncture Point,"Front-Mu Point of the Small Intestine, Conception Vessel 4, RN 4, Ren 4, VC 4",Guanyuan,"關(关,関)元",Conception Vessel,Front-Mu Point of the Small Intestine,"On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, on the anterior median line.","lower abdomen (anterior median line, umbilicus)",Puncture perpendicularly 0.8-1.2 inches. This is one of the important points for tonification. Moxibustion is applicable.,"prolapse of the rectum, indigestion, enuresis, irregular menstruation, nocturnal emission, retention of urine, hernia, lower abdominal pain, diarrhea, dysmenorrhea, uterine bleeding, morbid leukorrhea, postpartum hemorrhage, flaccid type of apoplexy, frequency of urination",The medial branch of the anterior cutaneous branch of the twelfth intercostal nerve.,,"The branches of superficial epigastric artery and vein, and the branches of inferior epigastric artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 221. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_1205186,TARA:1205186,CV 5,Meridian Acupuncture Point,"Front-Mu Point of Triple Energizer, Conception Vessel 5, RN 5, Ren 5, VC 5",Shimen,石門(门),Conception Vessel,Front-Mu Point of Triple Energizer,"On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, on the anterior median line.","lower abdomen (anterior median line, umbilicus)",Puncture perpendicularly 0.5-1.0 inch. Moxibustion is applicable.,"amenorrhea, enuresis, hernia, abdominal pain, diarrhea, edema, uterine bleeding, anuria, morbid leukorrhea, postpartum hemorrhage",The anterior cutaneous branch of the eleventh intercostal nerve.,,"The branches of superficial epigastric artery and vein, and the branches of inferior epigastric artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 222. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_8833337,TARA:8833337,CV 6,Meridian Acupuncture Point,"Conception Vessel 6, RN 6, Ren 6, VC 6",Qihai,"氣(气,気)海(海)",Conception Vessel,,"On the lower abdomen, 1.5 B-cun inferior to the centre of the umbilicus, on the anterior median line.","lower abdomen (anterior median line, umbilicus)",Puncture perpendicularly 0.8-1.2 inches. This is one of the important points for tonification. Moxibustion is applicable.,"constipation, amenorrhea, enuresis, irregular menstruation, asthma, nocturnal emission, hernia, abdominal pain, dysentery, diarrhea, edema, dysmenorrhea, uterine bleeding, impotence, morbid leukorrhea, postpartum hemorrhage, flaccid type of apoplexy",,,"The branches of superficial epigastric artery and vein, and the branches of inferior epigastric artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 222. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_0411625,TARA:0411625,CV 7,Meridian Acupuncture Point,"Conception Vessel 7, RN 7, Ren 7, VC 7",Yinjiao,陰(阴)交,Conception Vessel,,"On the lower abdomen, 1 B-cun inferior to the centre of the umbilicus, on the anterior median line.","lower abdomen (anterior median line, umbilicus)",Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.,"abdominal distension, irregular menstruation, hernia, edema",The anterior cutaneous branch of the tenth intercostal nerve.,,,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 223. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_9392275,TARA:9392275,CV 8,Meridian Acupuncture Point,"Conception Vessel 8, RN 8, Ren 8, VC 8",Shenque,神(神)闕(阙),Conception Vessel,,"On the upper abdomen, in the centre of the umbilicus.",upper abdomen (umbilicus),Puncture is prohibited! Moxibustion is applicable.,"prolapse of the rectum, abdominal pain, borborygmus, flaccid type of apoplexy, unchecked diarrhea",The anterior cutaneous branch of the tenth intercostal nerve.,,The inferior epigastric artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 223. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_4534524,TARA:4534524,CV 9,Meridian Acupuncture Point,"Conception Vessel 9, RN 9, Ren 9, VC 9",Shuifen,水分,Conception Vessel,,"On the upper abdomen, 1 B-cun superior to the centre of the umbilicus, on the anterior median line.","upper abdomen (anterior median line, umbilicus)",Puncture perpendicularly 0.5-1.0 inch. Moxibustion is applicable.,"retention of urine, abdominal pain, borborygmus, diarrhea, edema",The anterior cutaneous branch of the eighth and ninth intercostal nerves.,,,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Acupuncture Points of the Governor and the Conception Vessels and the Extra Points. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 224. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_1092703,TARA:1092703,Conception Vessel Acupoint,Meridian Acupuncture Point,"Acupoint of Conception Vessel, Acupoint of Ren Channel, Acupoint of the Conception Vessel, Acupoint of the Ren channel, Acupouncture point of the Conception Vessel, Acupuncture point of the Ren channel, CV Acupoint, RN Acupoint, Ren Acupoint",,,Conception Vessel,,,,,,,,,,,"WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_5541141,TARA:5541141,GB 1,Meridian Acupuncture Point,"G 1, Gallbladder 1",Tongziliao,瞳子髎(髎),Gallbladder Meridian,,"On the head, in the depression, 0.5 B-cun lateral to the outer canthus of the eye.","head (eye, outer canthus)",Puncture subcutaneously 0.3-0.5 inch.,"deviation of the eye, deviation of the mouth, headache, pain in the eye, redness of the eye, lacrimation, failing of vision","The zygomaticofacial and zygomaticotemporal nerve, the temporal branch of the facial nerve.",,The zygomaticoorbital artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 172. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_2125533,TARA:2125533,GB 10,Meridian Acupuncture Point,"G 10, Gallbladder 10",Fubai,(浮)白,Gallbladder Meridian,,"On the head, posterosuperior to the mastoid process, at the junction of the upper one third and lower two thirds of the curved line from GB 9 to GB 12.
 - Note: Posterior to the auricular apex, 1 B-cun superior to the hairline.","head (ear, hairline, mastoid process of temporal bone)",Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"headache, deafness, tinnitus",,,The posterior auricular artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 176. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_5102514,TARA:5102514,GB 11,Meridian Acupuncture Point,"G 11, Gallbladder 11",Touqiaoyin,頭(头)竅(窍)陰(阴),Gallbladder Meridian,,"On the head, posterior and superior to the mastoid process, at the junction of the upper two thirds and lower one third of the curved line from GB 9 to GB 12.",head (mastoid process of temporal bone),Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"deafness, pain in the ear, pain in the neck, pain in the head, tinnitus",The anastomotic branch of the great and lesser occipital nerves.,,The branches of the posterior auricular artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 177. https://iris.who.int/handle/10665/353407"
